Company Name,Categories,Location,Contact Name,Address,Tel1,Tel2,Link
YCH Design Studio,Interior Designer,Selangor,Rio 2 Office Park,"Lot 9 Third Floor, 09-03, IOI Rio, Lebuh Puteri, Puchong
                                                                                                                                                                                                                    47100
                                                                                                                                                                Bandar Puteri Puchong
                                                                                                                                                                Selangor, Malaysia",+60136957141,+60169104428,https://atap.co/malaysia/en/professionals/ych-design-studio
Equals Design Studio,Interior Designer,WP Kuala Lumpur,"A-41-08, Sunway Velocity 2","158, Jalan Peel,
                                                                                                                                                                                                                    55100
                                                                                                                                                                Others
                                                                                                                                                                WP Kuala Lumpur, Malaysia",+60164505826,+60165515972,https://atap.co/malaysia/en/professionals/equals-design-studio
Studio Ayra,Interior Designer,WP Kuala Lumpur,Studio Ayra Sdn Bhd,"Persiaran Syed Putra
                                                                                                                    50460
                                                                                        Seputeh
                                                                                        WP Kuala Lumpur, Malaysia",+60126077990,,https://atap.co/malaysia/en/professionals/studioayra
Bluedraft,Interior Designer,Sabah,"Lot 9, No.7. Third Floor,","Lorong Margosa Dua Luyang Phase 8,
                                                                                                                                                                                                                    88300
                                                                                                                                                                Kota Kinabalu
                                                                                                                                                                Sabah, Malaysia",+60168253939,+601115253939,https://atap.co/malaysia/en/professionals/bluedraft
SPACE 42 Design Studio,"Architect,Interior Designer",,Space 42 Interior Design Studio,"118-1-B Jalan Dataran Cheras, 8 , Dataran Perniagaan Cheras
                                                                                        Jalan Dataran
                                                                                        43200",+60122446528,+60126939689,https://atap.co/malaysia/en/professionals/space-42-design-studio
Spaceplay,"Architect,Interior Designer",Selangor,No 20-1,"Jalan SS 2/61
                                                                                                                    47300
                                                                                        Petaling Jaya
                                                                                        Selangor, Malaysia",+60129806881,,https://atap.co/malaysia/en/professionals/spaceplay
Framework Studio,"Architect,Interior Designer",WP Kuala Lumpur,A-12-13A Aurora Sovo,"Off Bukit Jalil Highway
                                                                                                                    57000
                                                                                        Bukit Jalil
                                                                                        WP Kuala Lumpur, Malaysia",+60122056070,,https://atap.co/malaysia/en/professionals/framework-studio
C-Lab Design,Interior Designer,WP Kuala Lumpur,"1-9-6, Jalan 2/144A,","Taman Bukit Cheras,
                                                                                                                                                                                                                    56000
                                                                                                                                                                                                                    WP Kuala Lumpur, Malaysia",+60169652611,,https://atap.co/malaysia/en/professionals/c-lab-design
WO Atelier,Interior Designer,WP Kuala Lumpur,HQ,"A1-05-02 , Arcoris Mont Kiara
                                                                                                                                                                                                                    50480
                                                                                                                                                                Mont Kiara
                                                                                                                                                                WP Kuala Lumpur, Malaysia",+60364125663,+60162064864,https://atap.co/malaysia/en/professionals/wo-interior-design
Zuke Design Studio,"Architect,Interior Designer",Penang,"30-3, Lorong Singgora, Kampung Makam,","10150 George Town, Pulau Pinang
                                                                                                                                                                                                                    10150
                                                                                                                                                                Georgetown
                                                                                                                                                                Penang, Malaysia",+60175824428,+60184023530,https://atap.co/malaysia/en/professionals/zuke-design-studio
Keith Ho Design Sdn Bhd,Interior Designer,WP Kuala Lumpur,"B-5-21, Plaza Bukit Jalil (Aurora Place 1)","Persiaran Jalil 1
                                                                                                                                                                Bukit Jalil
                                                                                                                                                                58200
                                                                                                                                                                Bukit Jalil
                                                                                                                                                                WP Kuala Lumpur, Malaysia",+60126632683,+60122790901,https://atap.co/malaysia/en/professionals/keith-ho-design-sdn-bhd
NORM DESIGN SDN BHD,Interior Designer,Penang,"36, Jalan Irrawaddi","Pulau Tikus
                                                                                                                                                                                                                    10050
                                                                                                                                                                Georgetown
                                                                                                                                                                Penang, Malaysia",+60124862001,+60174234998,https://atap.co/malaysia/en/professionals/norm-design-studio
Framework Studio,"Architect,Interior Designer",WP Kuala Lumpur,A-12-13A Aurora Sovo,"Off Bukit Jalil Highway
                                                                                                                    57000
                                                                                        Bukit Jalil
                                                                                        WP Kuala Lumpur, Malaysia",+60122056070,,https://atap.co/malaysia/en/professionals/framework-studio
MSQUARE CREATION,Interior Designer,Selangor,88 Marketplace,"GROUND GLOOR, BLOCK J,
                                                                                                                                                                LORONG PUSAT KOMERSIAL
                                                                                                                                                                88300
                                                                                                                                                                Penampang
                                                                                                                                                                Sabah, Malaysia",,,https://atap.co/malaysia/en/professionals/msquare-creation
Zyon Studio Sdn Bhd,"Architect,Interior Designer",Selangor,Zyon Studio Sdn Bhd,"No 42-3, Jalan PJU5/9,
                                                                                                                                                                Dataran Sunway, Kota Damansara
                                                                                                                                                                47810
                                                                                                                                                                Petaling Jaya
                                                                                                                                                                Selangor, Malaysia",+601125185001,,https://atap.co/malaysia/en/professionals/zyon-studio-sdn-bhd
Xscape Design Studio,"Architect,Interior Designer",Negeri Sembilan,Xscape Design Studio,"255, Jalan Pusat Dagangan Sendayan 3
                                                                                                                                                                Bandar Sri Sendayan
                                                                                                                                                                71950
                                                                                                                                                                Siliau
                                                                                                                                                                Negeri Sembilan, Malaysia",+60172486822,,https://atap.co/malaysia/en/professionals/xscape-design-studio
Studio Ayra,Interior Designer,WP Kuala Lumpur,Studio Ayra Sdn Bhd,"Persiaran Syed Putra
                                                                                                                    50460
                                                                                        Seputeh
                                                                                        WP Kuala Lumpur, Malaysia",+60126077990,,https://atap.co/malaysia/en/professionals/studioayra
Spaceplay,"Architect,Interior Designer",Selangor,No 20-1,"Jalan SS 2/61
                                                                                                                    47300
                                                                                        Petaling Jaya
                                                                                        Selangor, Malaysia",+60129806881,,https://atap.co/malaysia/en/professionals/spaceplay
Stuarts Design Sdn Bhd,"Architect,Interior Designer",,Head Office,"No. 6-1, Ground Floor, IOI Rio City, Lebuh Puteri, Bandar Puteri, 47100 Puchong, Selangor, Malaysia
                                                                                                                    47100",+60386038771,+60123025222,https://atap.co/malaysia/en/professionals/stuarts-design-sdn-bhd
Box Design Studio,"Architect,Interior Designer",WP Kuala Lumpur,Box Design Studio Sdn Bhd,"VO5-07-06, Signature 1
                                                                                        Lingkaran SV, Sunway Velocity,
                                                                                        55100
                                                                                                                    WP Kuala Lumpur, Malaysia",+60192861108,+60102259648,https://atap.co/malaysia/en/professionals/box-design-studio
CATH DESIGN,Interior Designer,Selangor,CATH DESIGN,"No. 23, Jalan MR 2/14
                                                                                                                                                                M Residence 2
                                                                                                                                                                48020
                                                                                                                                                                Rawang
                                                                                                                                                                Selangor, Malaysia",+60194982291,+601110691297,https://atap.co/malaysia/en/professionals/cath-design
OH.BLANK STUDIO,Interior Designer,Selangor,"No 59, Greenville,","Jalan Haji Musran 3c/KU4,
                                                                                                                                                                Taman  Dagang,
                                                                                                                                                                42100
                                                                                                                                                                Klang
                                                                                                                                                                Selangor, Malaysia",+60183209625,,https://atap.co/malaysia/en/professionals/oh-blank-studio
Blossom Best Construction Works,Interior Designer,Selangor,"NO 29, JALAN MJ 2/9","TAMAN MERANTI JAYA
                                                                                                                                                                                                                    47120
                                                                                                                                                                Puchong
                                                                                                                                                                Selangor, Malaysia",+60194809910,+60136000923,https://atap.co/malaysia/en/professionals/blossom-best-construction-works
Scalable MY,"Architect,Interior Designer",,"Suite 88, Co-labs Coworking The Starling","Lot 4-401 & 4-402, Level 4, The Starling Mall
                                                                                        No. 6, Jalan SS21/37, Damansara Uptown
                                                                                        47400",+60358709188,,https://atap.co/malaysia/en/professionals/scalable-by-paramount-property
SPACE 42 Design Studio,"Architect,Interior Designer",,Space 42 Interior Design Studio,"118-1-B Jalan Dataran Cheras, 8 , Dataran Perniagaan Cheras
                                                                                        Jalan Dataran
                                                                                        43200",+60122446528,+60126939689,https://atap.co/malaysia/en/professionals/space-42-design-studio
Stuarts Design Sdn Bhd,"Architect,Interior Designer",,Head Office,"No. 6-1, Ground Floor, IOI Rio City, Lebuh Puteri, Bandar Puteri, 47100 Puchong, Selangor, Malaysia
                                                                                                                    47100",+60386038771,+60123025222,https://atap.co/malaysia/en/professionals/stuarts-design-sdn-bhd
Inspire Edge Studio,"Architect,Interior Designer",,"UNIT  C-5-20 , BLOCK C","CENTUM @ OASIS CORPORATE PARK
                                                                                        JALAN PJU 1A/2 ,
                                                                                        47301",+60169152826,,https://atap.co/malaysia/en/professionals/inspire-edge-studio
Millimetre Design Sdn Bhd,"Architect,Interior Designer",WP Kuala Lumpur,Millimetre Design Sdn Bhd,"J7-3, Pusat Perdagangan, Bandar Bukit Jalil
                                                                                                                                                                Jalan Persiaran Jalil 1,
                                                                                                                                                                57000
                                                                                                                                                                Bukit Jalil
                                                                                                                                                                WP Kuala Lumpur, Malaysia",+60102082272,+60327707008,https://atap.co/malaysia/en/professionals/millimetre-design-sdn-bhd
Stuarts Design Sdn Bhd,"Architect,Interior Designer",,Head Office,"No. 6-1, Ground Floor, IOI Rio City, Lebuh Puteri, Bandar Puteri, 47100 Puchong, Selangor, Malaysia
                                                                                                                    47100",+60386038771,+60123025222,https://atap.co/malaysia/en/professionals/stuarts-design-sdn-bhd
Studio Ayra,Interior Designer,WP Kuala Lumpur,Studio Ayra Sdn Bhd,"Persiaran Syed Putra
                                                                                                                    50460
                                                                                        Seputeh
                                                                                        WP Kuala Lumpur, Malaysia",+60126077990,,https://atap.co/malaysia/en/professionals/studioayra
Spaceplay,"Architect,Interior Designer",Selangor,No 20-1,"Jalan SS 2/61
                                                                                                                    47300
                                                                                        Petaling Jaya
                                                                                        Selangor, Malaysia",+60129806881,,https://atap.co/malaysia/en/professionals/spaceplay
The Grid Studio (M) Sdn Bhd,"Architect,Interior Designer",,The Grid Studio (M) Sdn Bhd,"Setia Walk, Persiaran Wawasan,
                                                                                        Pusat Bandar Puchong, 47160 Selangor.
                                                                                        47160",+60129251380,,https://atap.co/malaysia/en/professionals/the-grid-studio-m-sdn-bhd
Supernormal Design Studio,"Architect,Interior Designer",Johor,A04-07 Eco Palladium,"Jalan Ekorflora 7/3
                                                                                        Taman Ekorflora
                                                                                        81100
                                                                                                                    Johor, Malaysia",+60167105488,+60127577735,https://atap.co/malaysia/en/professionals/supernormal-design-studio
Pocket Square,"Interior Designer,Architect",,Pocket Square,"B-06-16, Sunway Geo Avenue 1
                                                                                        Jalan Lagoon Selatan, Bandar Sunway
                                                                                        47500",+60104302798,,https://atap.co/malaysia/en/professionals/pocket-square
Wuuu Studio,"Architect,Interior Designer",Others,Wuuu studio,"Setia Alam
                                                                                        Seksyen U13
                                                                                        40170
                                                                                                                    Others, Malaysia",+60173736129,,https://atap.co/malaysia/en/professionals/ddm
The Roof Studio,Interior Designer,,The Roof Studio,"11-2， Jalan USJ 10/1G,
                                                                                                                    47620",+60166614998,,https://atap.co/malaysia/en/professionals/the-roof-studio
LEAREKA SDN BHD,Interior Designer,Selangor,LEAREKA SDN. BHD.,"3-9, Level 3, No. 16, Jalan Suarasa 8/4,
                                                                                                                                                                Bandar Tun Hussein Onn,
                                                                                                                                                                43200
                                                                                                                                                                Cheras
                                                                                                                                                                Selangor, Malaysia",+601111253851,,https://atap.co/malaysia/en/professionals/leareka-sdn-bhd
CUBEBEE DESIGN SDN BHD,"Architect,Interior Designer",Selangor,IOI RIO,"RIO 2 13-10, 2, RIO TOWER, PERSIARAN RIO, Bandar Puteri Puchong, 47100 Puchong, Selangor
                                                                                                                                                                                                                    47100
                                                                                                                                                                Puchong
                                                                                                                                                                Selangor, Malaysia",+60127292768,+60129412768,https://atap.co/malaysia/en/professionals/cubebee-design-sdn-bhd
WLEA Enterprise Sdn. Bhd.,Interior Designer,Johor,WLEA ENTERPRISE SDN. BHD.,"NO.20-02, JALAN ADDA 7,
                                                                                                                                                                TAMAN ADDA,
                                                                                                                                                                81100
                                                                                                                                                                Johor Bahru
                                                                                                                                                                Johor, Malaysia",+60127020498,,https://atap.co/malaysia/en/professionals/wlea-enterprise-sdn-bhd
Solid Design Studio,"Interior Designer,Architect",WP Kuala Lumpur,SOLID DESIGN STUDIO,"E-3-21, Plaza Arkadia, No.3, Jalan Intisari Perdana,
                                                                                                                                                                Desa Parkcity,
                                                                                                                                                                52200
                                                                                                                                                                Desa Park City
                                                                                                                                                                WP Kuala Lumpur, Malaysia",+60173652800,+60173615800,https://atap.co/malaysia/en/professionals/soliddesign
